uf,ano,mes,temp_media_mensal,temp_minima_mensal,temp_minima_absoluta,radiacao_kwh_m2_dia,amplitude_termica_diaria,n_dias,regiao_br,cop_ashp_agua,energia_solar_util_kwh_m2_dia
AP,2024,2,26.5787312215301,23.634483,21.0,4.508664,7.5741377,29,Norte,3.6094,2.2543
AP,2024,3,26.568516270698595,24.058872,21.4,3.9979455,6.862903,31,Norte,3.6088,1.999
AP,2024,4,26.688194486829968,24.195,22.3,3.969697,6.746667,30,Norte,3.6156,1.9848
AP,2024,5,26.66999764997528,24.231451,22.9,4.0307407,6.7048383,31,Norte,3.6146,2.0154
AP,2024,6,26.5380554623074,23.550835,21.7,4.3950677,7.6616664,30,Norte,3.6071,2.1975
AP,2024,7,26.65351086487005,23.24074,21.1,4.8186555,8.491667,31,Norte,3.6136,2.4093
AP,2024,8,27.41171506953347,23.49785,21.2,5.491291,9.394624,31,Norte,3.6568,2.7456
AP,2024,9,28.137934778431568,23.78111,21.4,5.7535925,9.9777775,30,Norte,3.6987,2.8768
AP,2024,10,28.18267034358541,23.578495,21.1,5.89359,10.453763,31,Norte,3.7013,2.9468
AP,2024,11,28.033845268019917,23.798887,21.7,5.3683257,9.85111,30,Norte,3.6927,2.6842
AP,2024,12,26.57577561427617,23.65699,21.2,4.3849177,7.5752687,31,Norte,3.6092,2.1925
AP,2025,1,25.72889580602934,23.227957,19.9,3.8827,6.806452,31,Norte,3.5616,1.9414
AP,2025,2,25.454145234070456,23.213095,20.8,3.7508616,6.125,28,Norte,3.5463,1.8754
AP,2025,3,25.477394207441236,23.209677,20.5,3.7529678,6.2849464,31,Norte,3.5476,1.8765
AP,2025,4,25.855368306133865,23.492222,21.4,3.8906274,6.4444447,30,Norte,3.5687,1.9453
AP,2025,5,26.015225199276884,23.419355,20.5,4.0562873,6.907527,31,Norte,3.5777,2.0281
AP,2025,6,25.97625009042245,23.196667,21.2,4.1936173,7.184444,30,Norte,3.5755,2.0968
AP,2025,7,26.30416670495037,23.035484,21.5,4.70213,8.234408,31,Norte,3.5939,2.3511
AP,2025,8,26.918096495098244,23.172043,20.2,5.1920366,9.115054,31,Norte,3.6287,2.596
AP,2025,9,27.730402621209336,23.247778,21.0,5.679703,10.224444,30,Norte,3.6751,2.8399
AP,2025,10,27.815047805213062,23.34301,20.3,5.607291,10.295699,31,Norte,3.68,2.8036
AP,2025,11,27.43500938868661,23.453335,20.6,5.0618463,9.438889,30,Norte,3.6582,2.5309
AP,2025,12,26.51298855423097,23.64625,20.9,4.1254363,7.275,31,Norte,3.6057,2.0627
BA,2021,1,26.280786247140263,21.59178,14.0,5.7585926,9.900677,31,Nordeste,3.5926,2.8793
BA,2021,2,26.095938305304063,21.818527,14.6,5.2307487,9.191766,28,Nordeste,3.5822,2.6154
BA,2021,3,26.684622840326835,20.962183,12.0,5.968292,11.258324,31,Nordeste,3.6154,2.9841
BA,2021,4,25.813375097668107,21.601913,13.6,4.4913206,8.7502985,30,Nordeste,3.5663,2.2457
BA,2021,5,24.27563709765293,19.231863,11.4,4.438578,9.818892,31,Nordeste,3.4813,2.2193
BA,2021,6,23.944840812543053,19.181942,10.0,3.9758055,9.142955,30,Nordeste,3.4633,1.9879
BA,2021,7,23.357484635418945,18.573439,10.1,3.8786979,8.973174,31,Nordeste,3.4315,1.9393
BA,2021,8,23.442552571713488,18.24739,10.3,4.3919206,9.617912,31,Nordeste,3.4361,2.196
BA,2021,9,25.8180565106788,19.76194,11.7,5.2547903,11.892388,30,Nordeste,3.5666,2.6274
BA,2021,10,26.590748287823985,21.557299,14.3,5.4434924,10.808926,31,Nordeste,3.6101,2.7217
