NC,NN,MC,MN,qtd_domicilios,cod_uf,uf,D2C,ano,D3C,variavel,cod_categoria,categoria
3,Unidade da Federação,1020,Unidades,28286,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72153,Não possui ligação com a rede geral
3,Unidade da Federação,1020,Unidades,9611,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72154,Não possui ligação com a rede geral - Poço profundo ou artesiano
3,Unidade da Federação,1020,Unidades,13411,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72155,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
3,Unidade da Federação,1020,Unidades,606,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72156,"Não possui ligação com a rede geral - Fonte, nascente ou mina"
3,Unidade da Federação,1020,Unidades,118,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72157,Não possui ligação com a rede geral - Carro-pipa
3,Unidade da Federação,1020,Unidades,44,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72158,Não possui ligação com a rede geral - Água da chuva armazenada
3,Unidade da Federação,1020,Unidades,3789,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72159,"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés"
3,Unidade da Federação,1020,Unidades,707,14,Roraima,2022,2022,381,Domicílios particulares permanentes ocupados,72160,Não possui ligação com a rede geral - Outra
3,Unidade da Federação,1020,Unidades,2444319,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72129,Total
3,Unidade da Federação,1020,Unidades,1195348,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72144,Possui ligação à rede geral e a utiliza como forma principal
3,Unidade da Federação,1020,Unidades,169888,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72145,"Possui ligação à rede geral, mas utiliza principalmente outra forma"
3,Unidade da Federação,1020,Unidades,134384,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72146,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano"
3,Unidade da Federação,1020,Unidades,28281,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72147,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba"
3,Unidade da Federação,1020,Unidades,1539,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72148,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina"
3,Unidade da Federação,1020,Unidades,968,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72149,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa"
3,Unidade da Federação,1020,Unidades,67,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72150,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada"
3,Unidade da Federação,1020,Unidades,2404,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72151,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés"
3,Unidade da Federação,1020,Unidades,2245,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72152,"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra"
3,Unidade da Federação,1020,Unidades,1079083,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72153,Não possui ligação com a rede geral
3,Unidade da Federação,1020,Unidades,636116,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72154,Não possui ligação com a rede geral - Poço profundo ou artesiano
3,Unidade da Federação,1020,Unidades,280878,15,Pará,2022,2022,381,Domicílios particulares permanentes ocupados,72155,"Não possui ligação com a rede geral - Poço raso, freático ou cacimba"
